treatment,level,obs_2of3,random_mean,enrich_vs_random,p_random,con_mean,enrich_vs_CON,p_CON
CA,locus,269,0.7002,384.175949728649,9.99900009999e-05,0.8228,326.932425862907,9.99900009999e-05
CA,gene,225,57.3404,3.92393495685416,9.99900009999e-05,55.1656,4.07862871064576,9.99900009999e-05
SE,locus,811,3.8789,209.07989378432,9.99900009999e-05,4.3301,187.293595990855,9.99900009999e-05
SE,gene,615,199.8236,3.07771454422801,9.99900009999e-05,194.0185,3.16980081796324,9.99900009999e-05
CASE,locus,1523,14.7914,102.965236556377,9.99900009999e-05,10.9259,139.393551103342,9.99900009999e-05
CASE,gene,1008,487.3146,2.06847896615451,9.99900009999e-05,367.6965,2.74139133769291,9.99900009999e-05
