floor,n_obs,n_snp,mean_I,p_I,frac_I_pos,mean_I_logit,mean_dCON,frac_CA_pos,frac_SE_pos
10,4611,1941,0.0277270118395776,5.84259056687488e-144,0.662979830839297,0.238538394783193,0.0208141033518139,0.573411407503795,0.649316851008458
20,4611,1941,0.0272812917376592,7.78257486852592e-142,0.662546085447842,0.237418624772877,0.0206688624047879,0.574062025590978,0.650618087182824
30,4323,1921,0.0247579468872539,2.72850035002263e-103,0.643765903307888,0.193657140478264,0.018343811735,0.569511913023364,0.643071940781864
40,3595,1804,0.0208274127926209,2.71869165466628e-66,0.62586926286509,0.174510099673835,0.0165070317156753,0.559109874826147,0.648956884561892
50,2902,1596,0.021426076785272,1.41040746500545e-55,0.623707787732598,0.160013479354649,0.0161345348787051,0.559958649207443,0.64197105444521
