block,n_obs,n_snp,mean_I,median_I,p_I,frac_I_pos,mean_I_logit,frac_CA_pos,frac_SE_pos,mean_dCON
B10,1855,1855,0.0427740953915146,0.0329934827413455,2.51000565606273e-117,0.74177897574124,0.261834873765035,0.583827493261456,0.789757412398922,0.0191625264868546
B11,1123,1123,0.0176366791380883,0.0172268704513482,7.32153385306071e-19,0.618878005342832,0.218717022968427,0.530721282279608,0.530721282279608,0.016741935948952
B12,1633,1633,0.0163148184807189,0.0112570973120864,4.14428385478183e-24,0.60257195345989,0.222544011757533,0.592774035517453,0.575015309246785,0.0250804922502685
